object_id,global_id,faa_identifier,name,latitude,longitude,airport_geom,elevation,icao_id,airport_type,service_city,state_abbreviation,country,oper_status,airport_use,iap_exists,dod_hiflip,far_91,far_93,mil_code,airspace_analysis,us_high,us_low,ak_high,ak_low,us_area,pacific
15776,A025EC40-8317-4D84-8038-6364469AC2C3,6X0,Tarrant Fld,32.09750567,-95.29486821,POINT(-95.29486821 32.09750567),590,,Aerodome,Mount Selman,TX,United States,Operational,Public,FALSE,FALSE,FALSE,FALSE,CIVIL,Conditional,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
15560,D20A1E63-B047-4773-A4C8-463FFDC3A78D,29F,Joe Vaughn Spraying,34.39283913,-101.7599255,POINT(-101.7599255 34.39283913),3500,,Aerodome,Kress,TX,United States,Operational,Public,FALSE,FALSE,FALSE,FALSE,CIVIL,Conditional,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
15359,C5474C05-25BF-45CC-B0BF-1CB0FD5472D5,T51,Dan Jones Intl,30.04278052,-95.66723015,POINT(-95.66723015 30.04278052),166,,Aerodome,Houston,TX,United States,Operational,Public,FALSE,FALSE,FALSE,FALSE,CIVIL,Conditional,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
15420,9C3246F4-23D0-4AF7-AD09-3E9982A5AB87,6F7,Manning Fld,32.82700585,-94.35453468,POINT(-94.35453468 32.82700585),320,,Aerodome,Jefferson,TX,United States,Operational,Public,FALSE,FALSE,FALSE,FALSE,CIVIL,Conditional,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
14692,B3F7DDED-90B0-4F30-A83D-F14897E1657A,T80,Bishop's Landing,33.37652669,-96.72894366,POINT(-96.72894366 33.37652669),750,,Aerodome,Celina,TX,United States,Operational,Public,FALSE,FALSE,FALSE,FALSE,CIVIL,Conditional,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
16348,C5DBA82A-8B72-4BA9-BCBF-7BB6F21165BD,F78,Horseshoe Bend,32.57291787,-97.87254167,POINT(-97.87254167 32.57291787),715,,Aerodome,Weatherford,TX,United States,Operational,Public,FALSE,FALSE,FALSE,FALSE,CIVIL,Conditional,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
15081,FD9F4B31-9A56-407D-AFF6-6A1BAD1CBD86,X09,Covey Trails,29.6900885,-95.84048073,POINT(-95.84048073 29.6900885),130,,Aerodome,Fulshear,TX,United States,Operational,Public,FALSE,FALSE,FALSE,FALSE,CIVIL,Conditional,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
15726,B8D7160C-C063-495F-AAEA-6AE403CD076A,T79,Skyway Manor,29.5557946,-95.32800004,POINT(-95.32800004 29.5557946),55,,Aerodome,Pearland,TX,United States,Operational,Public,FALSE,FALSE,FALSE,FALSE,CIVIL,Conditional,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
15431,6048F808-9E7A-446F-BAAC-12B59AF4CD7B,XA0,Prose Fld,33.14817245,-97.28003545,POINT(-97.28003545 33.14817245),685,,Aerodome,Justin,TX,United States,Operational,Public,FALSE,FALSE,FALSE,FALSE,CIVIL,Conditional,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
16158,D1B33812-31F7-4E6F-960F-7B03E252E2A7,53T,Cannon Fld,29.21607831,-98.54946972,POINT(-98.54946972 29.21607831),610,,Aerodome,Somerset,TX,United States,Operational,Public,FALSE,FALSE,FALSE,FALSE,CIVIL,Conditional,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
15564,E1DF0C4C-0883-453E-86D5-1E50F492343F,E58,Bird Dog Airfield,33.30575903,-97.34610461,POINT(-97.34610461 33.30575903),895,,Aerodome,Krum,TX,United States,Operational,Public,FALSE,FALSE,FALSE,FALSE,CIVIL,Conditional,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
16364,F983F701-F07D-447F-B063-9F4399DDEC0E,T29,Flying H Ranch,33.63043228,-96.94097845,POINT(-96.94097845 33.63043228),760,,Aerodome,Whitesboro,TX,United States,Operational,Public,FALSE,FALSE,FALSE,FALSE,CIVIL,Conditional,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
15486,2A11F935-F22D-41BC-B137-E069769F4C76,7T0,Freedom Fld,33.59361698,-97.21889657,POINT(-97.21889657 33.59361698),885,,Aerodome,Lindsay,TX,United States,Operational,Public,FALSE,FALSE,FALSE,FALSE,CIVIL,Conditional,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
16063,D871AA1F-AAA6-4541-A78A-7B659EB1FE9B,T28,Cain,33.35450026,-97.43906606,POINT(-97.43906606 33.35450026),890,,Aerodome,Slidell,TX,United States,Operational,Public,FALSE,FALSE,FALSE,FALSE,CIVIL,Conditional,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
16232,379A6C3C-DF07-4016-8D9F-5A66A6B25F7D,73F,Wings For Christ Intl Flight Academy,31.6237819,-97.02250502,POINT(-97.02250502 31.6237819),455,,Aerodome,Waco,TX,United States,Operational,Public,FALSE,FALSE,FALSE,FALSE,CIVIL,Conditional,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
16998,775F4F86-FCF6-44DA-881D-8AE35788DA82,VT8,Shelburne,44.36031175,-73.22639588,POINT(-73.22639588 44.36031175),325,,Aerodome,Shelburne,VT,United States,Operational,Public,FALSE,FALSE,FALSE,FALSE,CIVIL,Conditional,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
16903,84CF9194-A4AE-4E2B-8CE8-BFD37D2F31B6,0B7,Warren-Sugarbush,44.11739783,-72.82700129,POINT(-72.82700129 44.11739783),1470,,Aerodome,Warren,VT,United States,Operational,Public,FALSE,FALSE,FALSE,FALSE,CIVIL,Conditional,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
